dataset,scenario,rank,username,combined_score,distance_to_infected,shared_context_weight,degree_centrality,distance_score,shared_score,degree_score,same_component
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,1,Ymblanter,0.7009109311740891,1.0,1.0,0.06442520636198913,0.75,1.0,0.12955465587044535,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,2,Inkowik,0.6818421052631579,1.0,1.0,0.017012281054962754,0.75,1.0,0.03421052631578947,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,3,Bill william compton,0.6817611336032389,1.0,1.0,0.01681095228508154,0.75,1.0,0.033805668016194335,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,4,DeltaBot,0.45,2.0,0.0,0.4972820616066036,0.5,0.0,1.0,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,5,BeneBot*,0.4263157894736842,2.0,0.0,0.43839339641634795,0.5,0.0,0.8815789473684211,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,6,Cycn,0.2989068825910931,2.0,0.0,0.12160257700825448,0.5,0.0,0.2445344129554656,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,7,MisterSynergy,0.2788259109311741,2.0,0.0,0.07167304207771291,0.5,0.0,0.14412955465587046,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,8,Lymantria,0.2786234817813765,2.0,0.0,0.07116972015300987,0.5,0.0,0.1431174089068826,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,9,분당선M,0.27558704453441296,2.0,0.0,0.06361989128246427,0.5,0.0,0.12793522267206478,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,10,Quakewoody,0.2730769230769231,2.0,0.0,0.057378699416146574,0.5,0.0,0.11538461538461539,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,11,Stryn,0.2708502024291498,2.0,0.0,0.05184215824441313,0.5,0.0,0.10425101214574899,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,12,Mbch331,0.27040485829959515,2.0,0.0,0.05073485001006644,0.5,0.0,0.1020242914979757,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,13,Jura1,0.27016194331983806,2.0,0.0,0.050130863700422794,0.5,0.0,0.10080971659919029,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,14,Wiki13,0.2682591093117409,2.0,0.0,0.045399637608214215,0.5,0.0,0.09129554655870445,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_one_seed,15,Wolverène,0.2677732793522267,2.0,0.0,0.04419166498892692,0.5,0.0,0.0888663967611336,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,1,BeneBot*,0.8513157894736842,1.0,1.0,0.43839339641634795,0.75,1.0,0.8815789473684211,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,2,Ymblanter,0.7009109311740891,1.0,1.0,0.06442520636198913,0.75,1.0,0.12955465587044535,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,3,Inkowik,0.6818421052631579,1.0,1.0,0.017012281054962754,0.75,1.0,0.03421052631578947,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,4,Bill william compton,0.6817611336032389,1.0,1.0,0.01681095228508154,0.75,1.0,0.033805668016194335,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,5,DeltaBot,0.45,2.0,0.0,0.4972820616066036,0.5,0.0,1.0,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,6,Cycn,0.2989068825910931,2.0,0.0,0.12160257700825448,0.5,0.0,0.2445344129554656,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,7,MisterSynergy,0.2788259109311741,2.0,0.0,0.07167304207771291,0.5,0.0,0.14412955465587046,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,8,Lymantria,0.2786234817813765,2.0,0.0,0.07116972015300987,0.5,0.0,0.1431174089068826,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,9,분당선M,0.27558704453441296,2.0,0.0,0.06361989128246427,0.5,0.0,0.12793522267206478,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,10,Quakewoody,0.2730769230769231,2.0,0.0,0.057378699416146574,0.5,0.0,0.11538461538461539,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,11,Stryn,0.2708502024291498,2.0,0.0,0.05184215824441313,0.5,0.0,0.10425101214574899,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,12,Mbch331,0.27040485829959515,2.0,0.0,0.05073485001006644,0.5,0.0,0.1020242914979757,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,13,Jura1,0.27016194331983806,2.0,0.0,0.050130863700422794,0.5,0.0,0.10080971659919029,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,14,Wiki13,0.2682591093117409,2.0,0.0,0.045399637608214215,0.5,0.0,0.09129554655870445,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,15,Wolverène,0.2677732793522267,2.0,0.0,0.04419166498892692,0.5,0.0,0.0888663967611336,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,1,ArthurPSmith,0.875,1.0,1.0,0.45763820739286887,0.75,1.0,1.0,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,2,ChristianKl,0.8341136526090065,1.0,1.0,0.36408243375858684,0.75,1.0,0.795568263045032,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,3,Micru,0.7460507505360973,1.0,1.0,0.1625776905462872,0.75,1.0,0.35525375268048603,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,4,ديفيد عادل وهبة خليل 2,0.43713366690493205,2.0,0.0,0.4281975793261367,0.5,0.0,0.9356683345246604,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,5,Pigsonthewing,0.42898498927805573,2.0,0.0,0.4095518482172064,0.5,0.0,0.8949249463902788,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,6,Jura1,0.4192637598284489,2.0,0.0,0.38730781812234216,0.5,0.0,0.8463187991422444,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,7,Pintoch,0.40725518227305213,2.0,0.0,0.3598298985933922,0.5,0.0,0.7862759113652608,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,8,Thierry Caro,0.3735167977126519,2.0,0.0,0.2826300294406281,0.5,0.0,0.6175839885632595,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,9,Pamputt,0.37208720514653326,2.0,0.0,0.2793588485443245,0.5,0.0,0.6104360257326662,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,10,YULdigitalpreservation,0.34964260185847035,2.0,0.0,0.22800130847235853,0.5,0.0,0.4982130092923516,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,11,Yair rand,0.3364903502501787,2.0,0.0,0.19790644422636572,0.5,0.0,0.43245175125089347,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,12,Nomen ad hoc,0.33263045032165833,2.0,0.0,0.1890742558063461,0.5,0.0,0.4131522516082916,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,13,Tinker Bell,0.3257684060042888,2.0,0.0,0.173372587504089,0.5,0.0,0.3788420300214439,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,14,Mahir256,0.3241958541815583,2.0,0.0,0.16977428851815507,0.5,0.0,0.37097927090779126,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,15,GZWDer,0.32047891350964974,2.0,0.0,0.1612692181877658,0.5,0.0,0.3523945675482487,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,1,Zolo,0.6649273290445556,1.0,14.0,0.0722930978083088,0.6666666666666667,1.0,0.15796997855611147,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,2,Snipre,0.6380816229279418,1.0,12.0,0.10893032384690873,0.6666666666666667,0.8571428571428571,0.23802716225875623,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,3,Danrok,0.6226573402770686,1.0,11.0,0.12266928361138371,0.6666666666666667,0.7857142857142857,0.268048606147248,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,4,NaBUru38,0.6147792641002077,1.0,12.0,0.05561007523716062,0.6666666666666667,0.8571428571428571,0.12151536812008577,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,5,ArthurPSmith,0.5547619047619048,1.0,1.0,0.45763820739286887,0.6666666666666667,0.07142857142857142,1.0,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,6,Kolja21,0.5463630484359576,1.0,8.0,0.09519136408243377,0.6666666666666667,0.5714285714285714,0.20800571837026446,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,7,Sven Manguard,0.5396286463119916,1.0,9.0,0.030749100425253518,0.6666666666666667,0.6428571428571429,0.06719085060757683,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,8,Yair rand,0.5269665407263693,1.0,5.0,0.19790644422636572,0.6666666666666667,0.35714285714285715,0.43245175125089347,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,9,ChristianKl,0.5138755573709112,1.0,1.0,0.36408243375858684,0.6666666666666667,0.07142857142857142,0.795568263045032,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,10,Emw,0.48506416147588416,1.0,6.0,0.05299313052011777,0.6666666666666667,0.42857142857142855,0.11579699785561115,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,11,Avenue,0.47005343953163825,1.0,6.0,0.018645731108930325,0.6666666666666667,0.42857142857142855,0.0407433881343817,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,12,DrTrigon,0.46462098778038735,1.0,6.0,0.0062152437029767745,0.6666666666666667,0.42857142857142855,0.013581129378127232,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,13,Nightwish62,0.4626348752510297,1.0,5.0,0.05070330389270527,0.6666666666666667,0.35714285714285715,0.11079342387419584,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,14,Stryn,0.4593468123489568,1.0,5.0,0.04317958783120707,0.6666666666666667,0.35714285714285715,0.0943531093638313,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_two_seed,15,Filceolaire,0.45750365907621093,1.0,4.0,0.08799476611056592,0.6666666666666667,0.2857142857142857,0.19228020014295924,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,1,Pasleim,0.875,1.0,1.0,0.4101633393829401,0.75,1.0,1.0,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,2,Multichill,0.7475663716814159,1.0,1.0,0.14882032667876588,0.75,1.0,0.36283185840707965,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,3,Ayack,0.7033185840707965,1.0,1.0,0.05807622504537205,0.75,1.0,0.1415929203539823,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,4,Pere prlpz,0.683849557522124,1.0,1.0,0.018148820326678763,0.75,1.0,0.04424778761061947,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,5,Jura1,0.4252212389380531,2.0,0.0,0.35934664246823955,0.5,0.0,0.8761061946902655,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,6,Matěj Suchánek,0.38451327433628324,2.0,0.0,0.27586206896551724,0.5,0.0,0.672566371681416,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,7,ValterVB,0.33672566371681417,2.0,0.0,0.1778584392014519,0.5,0.0,0.4336283185840708,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,8,Pigsonthewing,0.33318584070796464,2.0,0.0,0.1705989110707804,0.5,0.0,0.41592920353982304,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,9,Edoderoo,0.32256637168141594,2.0,0.0,0.14882032667876588,0.5,0.0,0.36283185840707965,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,10,Ricordisamoa,0.3101769911504425,2.0,0.0,0.1234119782214156,0.5,0.0,0.3008849557522124,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,11,Succu,0.3101769911504425,2.0,0.0,0.1234119782214156,0.5,0.0,0.3008849557522124,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,12,Sjoerddebruin,0.30575221238938055,2.0,0.0,0.11433756805807622,0.5,0.0,0.27876106194690264,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,13,Edgars2007,0.3048672566371681,2.0,0.0,0.11252268602540834,0.5,0.0,0.2743362831858407,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,14,Zolo,0.3013274336283186,2.0,0.0,0.10526315789473684,0.5,0.0,0.25663716814159293,1
BOT_REQUESTS,BOT_REQUESTS_one_seed,15,Nikki,0.29690265486725664,2.0,0.0,0.09618874773139746,0.5,0.0,0.23451327433628322,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,1,Pasleim,0.875,1.0,2.0,0.4101633393829401,0.75,1.0,1.0,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,2,Multichill,0.5975663716814159,1.0,1.0,0.14882032667876588,0.75,0.5,0.36283185840707965,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,3,Ricordisamoa,0.5851769911504425,1.0,1.0,0.1234119782214156,0.75,0.5,0.3008849557522124,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,4,Docu,0.5639380530973451,1.0,1.0,0.07985480943738657,0.75,0.5,0.1946902654867257,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,5,Lavallen,0.5621681415929204,1.0,1.0,0.07622504537205081,0.75,0.5,0.18584070796460178,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,6,Sk!d,0.5568584070796461,1.0,1.0,0.06533575317604355,0.75,0.5,0.1592920353982301,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,7,Magnus Manske,0.5568584070796461,1.0,1.0,0.06533575317604355,0.75,0.5,0.1592920353982301,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,8,Ayack,0.5533185840707965,1.0,1.0,0.05807622504537205,0.75,0.5,0.1415929203539823,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,9,Daniel Mietchen,0.5382743362831859,1.0,1.0,0.02722323049001815,0.75,0.5,0.06637168141592921,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,10,Byrial,0.536504424778761,1.0,1.0,0.023593466424682394,0.75,0.5,0.05752212389380531,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,11,Pere prlpz,0.5338495575221239,1.0,1.0,0.018148820326678763,0.75,0.5,0.04424778761061947,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,12,Coyau,0.5320796460176991,1.0,1.0,0.014519056261343012,0.75,0.5,0.035398230088495575,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,13,Underlying lk,0.529424778761062,1.0,1.0,0.009074410163339382,0.75,0.5,0.022123893805309734,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,14,Jura1,0.4252212389380531,2.0,0.0,0.35934664246823955,0.5,0.0,0.8761061946902655,1
BOT_REQUESTS,BOT_REQUESTS_two_seed,15,Matěj Suchánek,0.38451327433628324,2.0,0.0,0.27586206896551724,0.5,0.0,0.672566371681416,1
